Statistics,tripinfo_realtime_sophisticated.xml,tripinfo_realtime_static.xml,tripinfo_realtime_max_occupancy.xml
Total Time-Loss,14262.119999999995,28935.869999999984,14509.919999999996
Average Time-Loss,18.570468749999993,37.67691406249998,18.893124999999994
Max Time-Loss,81.73,74.76,82.07
Minimum Time-Loss,12.81,13.81,13.45
Total waitSteps,851,9877,989
Average waitSteps,1.1080729166666667,12.860677083333334,1.2877604166666667
Max waitSteps,53,40,53
Minimum waitSteps,0,0,0
Total Duration,72356.0,86970.0,72587.0
Average Duration,94.21354166666667,113.2421875,94.51432291666667
Max Duration,153.0,151.0,154.0
Minimum Duration,88.0,88.0,88.0
Total routeLength,779378.7999999892,779378.7999999892,779378.7999999892
Average routeLength,1014.8161458333193,1014.8161458333193,1014.8161458333193
Max routeLength,1015.1,1015.1,1015.1
Minimum routeLength,1013.1,1013.1,1013.1
